2026-01-20 16:25:03,056 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=12, releaselevel='final', serial=0)
2026-01-20 16:25:03,059 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-26.2-x86_64-i386-64bit
2026-01-20 16:25:03,062 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-20 16:25:03,063 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-20 16:25:19,399 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-20 16:25:19,400 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-20 16:25:29,490 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-20 16:25:29,498 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-20 16:25:30,677 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-24 00:14:52,511 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2026-01-24 00:14:52,564 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2026-01-24 00:14:52,564 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2026-01-27 14:14:08,040 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-01-27 14:14:08,051 | MainThread   | [INFO    ] | <module>            |: info
2026-01-27 14:14:08,061 | MainThread   | [WARNING ] | <module>            |: warning
2026-01-27 14:14:08,061 | MainThread   | [ERROR   ] | <module>            |: error
2026-01-27 14:14:08,062 | MainThread   | [CRITICAL] | <module>            |: critical
2026-01-27 14:25:46,963 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=11, releaselevel='final', serial=0)
2026-01-27 14:25:46,967 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-26.2-arm64-arm-64bit-Mach-O
2026-01-27 14:25:46,974 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 14:25:46,979 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 14:25:58,739 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 14:25:58,743 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 14:25:59,641 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 14:39:03,389 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-01-27 14:39:03,390 | MainThread   | [INFO    ] | <module>            |: info
2026-01-27 14:39:03,393 | MainThread   | [WARNING ] | <module>            |: warning
2026-01-27 14:39:03,394 | MainThread   | [ERROR   ] | <module>            |: error
2026-01-27 14:39:03,394 | MainThread   | [CRITICAL] | <module>            |: critical
2026-01-27 14:39:07,142 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 14:39:07,144 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 14:39:17,203 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 14:39:17,208 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 14:39:18,185 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 14:40:13,164 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2026-01-27 14:40:13,167 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2026-01-27 14:40:13,167 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2026-01-27 14:40:14,176 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2026-01-27 14:40:14,177 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2026-01-27 14:40:44,458 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-01-27 14:40:44,459 | MainThread   | [INFO    ] | <module>            |: info
2026-01-27 14:40:44,461 | MainThread   | [WARNING ] | <module>            |: warning
2026-01-27 14:40:44,461 | MainThread   | [ERROR   ] | <module>            |: error
2026-01-27 14:40:44,462 | MainThread   | [CRITICAL] | <module>            |: critical
2026-01-27 14:40:50,534 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=11, releaselevel='final', serial=0)
2026-01-27 14:40:50,536 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-26.2-arm64-arm-64bit-Mach-O
2026-01-27 14:40:50,538 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 14:40:50,540 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 14:41:00,702 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 14:41:00,709 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 14:41:01,595 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 14:57:06,984 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 14:57:06,997 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 14:57:17,061 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 14:57:17,066 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 14:57:18,130 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 15:03:00,039 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 15:03:00,041 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:03:10,110 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:03:10,127 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 15:03:10,931 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 15:04:20,977 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 15:04:20,979 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:04:31,039 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:04:31,046 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 15:04:32,021 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
